timestamp,dpid,port,interval_seconds,rx_packets_delta,tx_packets_delta,rx_bytes_delta,tx_bytes_delta,rx_dropped_delta,tx_dropped_delta,rx_errors_delta,tx_errors_delta,throughput_bps,packet_rate_pps,is_anomalous
2026-08-08 16:44:59.242162+00:00,1,1,5.001054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:44:59.242162+00:00,1,2,5.001054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:04.244797+00:00,1,1,5.002635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:04.244797+00:00,1,2,5.002635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:09.247502+00:00,1,1,5.002705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:09.247502+00:00,1,2,5.002705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:14.250706+00:00,1,1,5.003204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:14.250706+00:00,1,2,5.003204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:19.249852+00:00,1,1,4.999146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:19.249852+00:00,1,2,4.999146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:24.249789+00:00,1,1,4.999937,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,112.00141121778134,0.2000025200317524,0
2026-08-08 16:45:24.249789+00:00,1,2,4.999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:29.252748+00:00,1,1,5.002959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:29.252748+00:00,1,2,5.002959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:34.254222+00:00,1,1,5.001474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:34.254222+00:00,1,2,5.001474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:39.254511+00:00,1,1,5.000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:39.254511+00:00,1,2,5.000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:44.257223+00:00,1,1,5.002712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:44.257223+00:00,1,2,5.002712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:49.262308+00:00,1,1,5.005085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:49.262308+00:00,1,2,5.005085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:54.263164+00:00,1,1,5.000856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:54.263164+00:00,1,2,5.000856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:59.264059+00:00,1,1,5.000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:45:59.264059+00:00,1,2,5.000895,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.97995558794976,0.1999642064070531,0
2026-08-08 16:46:04.265352+00:00,1,1,5.001293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:46:04.265352+00:00,1,2,5.001293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:46:09.268823+00:00,1,1,5.003471,0.0,1.0,0.0,107.0,0.0,0.0,0.0,0.0,171.08123540638087,0.1998612563158655,0
2026-08-08 16:46:09.268823+00:00,1,2,5.003471,0.0,1.0,0.0,107.0,0.0,0.0,0.0,0.0,171.08123540638087,0.1998612563158655,0
2026-08-08 16:46:14.271864+00:00,1,1,5.003041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:46:14.271864+00:00,1,2,5.003041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-08-08 16:46:19.274909+00:00,1,1,5.003045,1.0,1.0,70.0,70.0,0.0,0.0,0.0,0.0,111.93183351339034,0.1998782741310542,0
